0,87.6066568130164
0.0001,86.0105502486547
0.0002,83.7942902603116
0.0003,81.7508801365578
0.0004,80.1199187518659
0.0005,78.0517395619321
0.0006,75.4026904675745
0.0007,72.1398910306346
0.0008,70.9204133077557
0.0009,68.9905947780028
0.001,67.0206513585726
0.0011,64.0621919873517
0.0012,62.1515544136112
0.0013,58.3088082149768
0.0014,55.7739238583849
0.0015,52.9357431754495
0.0016,51.3893524503109
0.0017,48.0662415589567
0.0018,44.698696317204
0.0019,42.8551673909842
0.002,39.1456888681374
0.0021,36.2140671933331
0.0022,33.2282603852266
0.0023,29.9544608160587
0.0024,26.9038783734075
0.0025,23.701952372194
0.0026,20.3243955252488
0.0027,18.0934234932627
0.0028,15.1330768860321
0.0029,11.9472265735545
0.003,8.30866983209583
0.0031,5.93070646745506
0.0032,2.31946734884678
0.0033,-0.763480159071036
0.0034,-4.17794026190982
0.0035,-6.77378857135818
0.0036,-11.8839726119382
0.0037,-13.1652575358697
0.0038,-16.4876310487478
0.0039,-19.4398579183884
0.004,-21.7400151564853
0.0041,-26.0733112189966
0.0042,-29.1832985697807
0.0043,-32.3729861178201
0.0044,-35.5026568221368
0.0045,-39.0638998424078
0.0046,-42.045704973188
0.0047,-44.1612863461873
0.0048,-46.7785063538115
0.0049,-50.4075932475892
0.005,-52.2297950949456
0.0051,-55.3640480862391
0.0052,-57.8467203234021
0.0053,-60.4802936008618
0.0054,-62.7679424580464
0.0055,-65.572814103233
0.0056,-68.1407908416679
0.0057,-70.3635782273262
0.0058,-73.0228092442793
0.0059,-74.4645850134581
0.006,-77.2665429167785
0.0061,-78.4776919525775
0.0062,-81.9522884282467
0.0063,-82.6518729487945
0.0064,-84.5462816884819
0.0065,-85.4489771485962
0.0066,-88.238196921005
0.0067,-89.3200240698595
0.0068,-90.4508855094126
0.0069,-91.8571605576276
0.007,-92.7194253099256
0.0071,-93.4161188702758
0.0072,-95.1305814862165
0.0073,-95.1123372403945
0.0074,-97.3198802610588
0.0075,-96.8756389605621
0.0076,-97.888845512732
0.0077,-99.5951509070043
0.0078,-99.1921653315157
0.0079,-99.1007346410615
0.008,-99.3123671600796
0.0081,-99.5834549046776
0.0082,-100.027398697831
0.0083,-99.1815644670349
0.0084,-99.4793138013156
0.0085,-99.3998434075128
0.0086,-99.2133426949618
0.0087,-98.0005304854157
0.0088,-98.4034149938952
0.0089,-96.2152972885496
0.009,-95.8175865093654
0.0091,-95.3199313351923
0.0092,-94.9026457188852
0.0093,-93.4783852794537
0.0094,-91.62994888054
0.0095,-91.5151459987353
0.0096,-90.0283185953481
0.0097,-87.7796003717957
0.0098,-86.7015126404854
0.0099,-84.4221151225449
0.01,-83.7755384406255
0.0101,-81.1005317249488
0.0102,-79.6369925252293
0.0103,-78.1001879001988
0.0104,-76.1970522846025
0.0105,-73.3406210408014
0.0106,-71.4005241050875
0.0107,-68.3246580860927
0.0108,-67.005157080845
0.0109,-63.5934928360039
0.011,-62.4945550139004
0.0111,-59.6930200986903
0.0112,-57.1100410903502
0.0113,-53.2492153651988
0.0114,-51.1665521842866
0.0115,-47.3771844549917
0.0116,-46.276374340057
0.0117,-41.784746905331
0.0118,-39.7958498967979
0.0119,-37.0240239734851
0.012,-33.5457649537622
0.0121,-29.9196434593871
0.0122,-27.4351396263504
0.0123,-24.6704644805151
0.0124,-20.5393907192073
0.0125,-18.4256681273387
0.0126,-15.412932391034
0.0127,-12.3376102842158
0.0128,-9.2644027724646
0.0129,-4.95732627195054
0.013,-1.10130442409669
0.0131,-0.00209474349292027
0.0132,4.10448505507471
0.0133,7.61066171906147
0.0134,10.3257043802284
0.0135,13.4092329097513
0.0136,17.0922840726797
0.0137,20.0257309600439
0.0138,23.6621245789023
0.0139,26.2461437359239
0.014,29.1728871094629
0.0141,33.1705368466369
0.0142,35.7457061108903
0.0143,37.838666908282
0.0144,41.8030525401646
0.0145,44.4928018231162
0.0146,47.4300544559455
0.0147,50.3762624808664
0.0148,51.9474823990507
0.0149,56.3097194067527
0.015,57.6493050176919
0.0151,60.2502870272348
0.0152,63.2250594141054
0.0153,64.9817801113914
0.0154,67.2065610973557
0.0155,69.8266102953799
0.0156,72.4119371967813
0.0157,75.0149327236507
0.0158,76.3865815766278
0.0159,78.6508809227315
0.016,80.4658249995622
0.0161,82.3538815641066
0.0162,83.2742524907651
0.0163,84.5869744914617
0.0164,87.6515138904613
0.0165,89.1522143897394
0.0166,90.5563895115817
0.0167,90.5079433600436
0.0168,93.1671475289477
0.0169,93.4340685607926
0.017,95.0079117742471
0.0171,95.6112221777372
0.0172,95.7152763531704
0.0173,98.1348690728142
0.0174,98.2828036115293
0.0175,97.9319448107861
0.0176,98.0691930556066
0.0177,99.6059624610231
0.0178,99.7671349208598
0.0179,99.7058358254075
0.018,100.560201171793
0.0181,100.434336310935
0.0182,99.5407986919599
0.0183,99.4869452223375
0.0184,99.1653514553691
0.0185,98.9983969679711
0.0186,97.8001149378061
0.0187,97.2701257106507
0.0188,96.6739363202417
0.0189,95.1400050501234
0.019,94.7530734233988
0.0191,93.1177363695042
0.0192,92.3126334323642
0.0193,91.0499483580045
0.0194,89.5426059583444
0.0195,88.1535881626061
0.0196,86.89838937712
0.0197,84.8987725485308
0.0198,83.0332910344036
0.0199,80.721726137469
0.02,79.1977760044378
0.0201,77.3194890311439
0.0202,75.4882734072638
0.0203,72.8753023275445
0.0204,70.9812951544822
0.0205,68.5997476973637
0.0206,67.2498206645715
0.0207,64.6468455419966
0.0208,61.4136562788581
0.0209,58.9488899971291
